service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2,1,1,0,1,1,0,0,20241216,20250119
3,0,0,0,0,0,1,0,20241216,20250119
4,0,0,0,0,0,0,1,20241216,20250119
20,0,0,0,0,0,0,1,20241216,20250119
21,1,0,0,1,1,0,0,20241216,20250119
402,1,1,0,1,0,0,0,20241216,20250119
502,0,0,0,0,1,0,0,20241216,20250119
902,0,0,0,0,1,0,0,20241216,20250119
1002,1,1,0,1,0,0,0,20241216,20250119
1521,1,0,0,1,0,0,0,20241216,20250119
1621,0,0,0,0,1,0,0,20241216,20250119
