stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
10044490,,"Gilmore and Forest Fair Dr NB","",39.303099,-84.523501,,,0,,,0,,
10228005,,"Fairfield Crossing Park & Ride","",39.351029,-84.544381,,,0,,,0,,
7235679,1231,"MTS Transit Station","",39.515387,-84.403175,,,0,,,0,,
7235680,,"First Ave at Clinton St South Bound","",39.514094,-84.40197,,,0,,,0,,
7235681,,"First Ave at Curtis St South Bound","",39.513654,-84.400245,,,0,,,0,,
7235682,,"First Ave at Baltimore","",39.513331,-84.39894,,,0,,,0,,
7235683,,"First Ave at Garfield St","",39.512997,-84.397316,,,0,,,0,,
7235684,,"First Ave at Grimes St","",39.512851,-84.394378,,,0,,,0,,
7235685,,"First Ave at Moore St","",39.512592,-84.390256,,,0,,,0,,
7235686,,"Central Ave at Suthphin St","",39.512305,-84.388904,,,0,,,0,,
7235687,,"Sutphin St at Arlington Ave","",39.510477,-84.387392,,,0,,,0,,
7235688,,"Sutphin St at Sherman Ave East Bound","",39.507886,-84.386303,,,0,,,0,,
7235689,,"Grand Ave at Stanley Ave","",39.505253,-84.382925,,,0,,,0,,
7235690,,"Grand Ave at Highland Ave (Eastbound)","",39.504685,-84.38051,,,0,,,0,,
7235691,,"Grand Ave at Florence St","",39.504457,-84.377299,,,0,,,0,,
7235692,,"Grand Ave at Orchard St (Eastbound)","",39.50429,-84.374339,,,0,,,0,,
7235693,,"Grand Ave at Euclid St (Eastbound)","",39.50423,-84.372584,,,0,,,0,,
7235694,,"Grand Ave at Kensington (Eastbound)","",39.504158,-84.370977,,,0,,,0,,
7235695,,"Grand Ave at Jackson Ln","",39.504086,-84.368729,,,0,,,0,,
7235696,,"Grand Ave at Highview St (Eastbound)","",39.503939,-84.365625,,,0,,,0,,
7235697,,"Grand Ave at Eaton Ave (Eastbound)","",39.503692,-84.360244,,,0,,,0,,
7235698,,"Grand Ave at Walgreens Pharmacy","",39.503566,-84.356956,,,0,,,0,,
7235699,,"Elliot Ave at Marie Dr","",39.502636,-84.351256,,,0,,,0,,
7235700,,"Elliot Ave at Palm Beach Tan","",39.500388,-84.351232,,,0,,,0,,
7235701,,"Marshal Rd at Auto Zone","",39.498868,-84.347622,,,0,,,0,,
